2014-04-06 2014037 	 06 13 14 24 25 30  07 	 385,617,546 	 18 261 
2014-04-03 2014036 	 01 07 08 09 11 22  03 	 378,585,748 	 30 351 
2014-04-01 2014035 	 07 08 09 17 32 33  06 	 385,901,784 	 10 199 
2014-03-30 2014034 	 01 03 04 08 25 31  06 	 432,189,956 	 20 102 
2014-03-27 2014033 	 05 13 23 28 32 33  12 	 403,193,612 	 17 303 
2014-03-25 2014032 	 01 02 14 22 29 33  07 	 397,424,848 	 3 94 
2014-03-23 2014031 	 04 10 16 17 21 27  14 	 443,595,958 	 16 368 
2014-03-20 2014030 	 12 18 19 23 24 30  10 	 396,594,924 	 8 208 
2014-03-18 2014029 	 02 07 14 16 21 29  14 	 396,072,528 	 8 137 
2014-03-16 2014028 	 06 16 21 27 30 32  05 	 435,709,368 	 8 72 
2014-03-13 2014027 	 08 10 14 16 30 31  01 	 384,105,632 	 2 75 
2014-03-11 2014026 	 01 02 05 06 11 23  14 	 376,888,174 	 2 135 
2014-03-09 2014025 	 01 05 10 14 16 30  16 	 420,328,670 	 3 96 
2014-03-06 2014024 	 08 10 16 20 23 30  09 	 380,942,014 	 24 288 
2014-03-04 2014023 	 07 09 13 17 21 22  10 	 379,325,720 	 13 178 
2014-03-02 2014022 	 04 06 07 10 21 26  16 	 422,477,050 	 8 110 
2014-02-27 2014021 	 08 10 15 17 22 29  12 	 376,012,996 	 9 119 
2014-02-25 2014020 	 09 14 17 23 24 25  15 	 369,800,298 	 4 118 
2014-02-23 2014019 	 02 10 15 19 20 21  07 	 409,381,396 	 5 95 
2014-02-20 2014018 	 13 17 18 21 30 33  15 	 366,787,508 	 5 51 
2014-02-18 2014017 	 04 06 07 14 25 26  10 	 354,286,552 	 24 218 
2014-02-16 2014016 	 02 03 07 13 21 24  08 	 394,728,698 	 3 106 
2014-02-13 2014015 	 02 11 19 30 32 33  09 	 345,827,928 	 11 101 
2014-02-11 2014014 	 04 09 19 22 25 29  15 	 340,281,006 	 10 128 
2014-02-09 2014013 	 05 09 13 15 17 21  13 	 447,850,102 	 12 127 
2014-01-28 2014012 	 01 08 11 19 21 24  08 	 364,615,256 	 6 79 
2014-01-26 2014011 	 09 10 13 14 21 32  02 	 400,827,700 	 7 120 
2014-01-23 2014010 	 05 07 08 20 31 33  11 	 359,922,428 	 2 207 
2014-01-21 2014009 	 08 09 19 20 25 32  16 	 348,408,848 	 6 229 
2014-01-19 2014008 	 05 14 16 21 29 30  12 	 392,135,484 	 8 189 
2014-01-16 2014007 	 08 10 12 14 18 28  14 	 346,606,050 	 13 198 
2014-01-14 2014006 	 03 04 07 17 21 27  14 	 369,941,458 	 70 296 
2014-01-12 2014005 	 15 18 23 27 32 33  04 	 414,088,906 	 6 77 
2014-01-09 2014004 	 01 04 19 22 24 25  15 	 373,155,800 	 5 113 
2014-01-07 2014003 	 06 10 11 28 30 33  12 	 363,993,362 	 6 147 
2014-01-05 2014002 	 04 21 23 31 32 33  04 	 408,021,124 	 6 105 
2014-01-02 2014001 	 03 09 15 20 27 29  01 	 371,341,368 	 3 139 
2013-12-31 2013154 	 07 11 14 19 24 29  05 	 382,836,786 	 16 182 
2013-12-29 2013153 	 08 11 13 18 28 33  10 	 394,373,774 	 6 116 
2013-12-26 2013152 	 04 06 14 16 18 29  05 	 353,968,798 	 28 213 
2013-12-24 2013151 	 03 09 10 19 28 33  09 	 376,460,226 	 45 391 
2013-12-22 2013150 	 01 15 16 25 26 29  10 	 409,001,896 	 5 93 
2013-12-19 2013149 	 09 18 25 26 30 32  11 	 369,490,424 	 9 117 
2013-12-17 2013148 	 06 11 12 14 17 22  01 	 354,333,120 	 5 120 
2013-12-15 2013147 	 02 15 16 17 19 30  08 	 400,947,352 	 18 132 
2013-12-12 2013146 	 08 20 25 30 32 33  01 	 404,451,866 	 4 147 
2013-12-10 2013145 	 06 10 13 16 23 24  15 	 364,933,776 	 13 237 
2013-12-08 2013144 	 05 07 12 19 27 31  02 	 406,764,784 	 12 308 
2013-12-05 2013143 	 12 18 21 22 27 32  11 	 364,973,022 	 8 90 
2013-12-03 2013142 	 11 12 14 20 22 29  14 	 356,100,256 	 8 119 
2013-12-01 2013141 	 03 04 05 25 30 31  04 	 409,703,546 	 25 180 
2013-11-28 2013140 	 01 05 12 13 21 22  10 	 359,556,480 	 4 125 
2013-11-26 2013139 	 07 08 11 13 21 27  08 	 372,082,440 	 25 184 
2013-11-24 2013138 	 04 15 16 24 27 28  03 	 402,650,432 	 10 161 
2013-11-21 2013137 	 04 17 19 23 24 27  10 	 379,293,130 	 27 420 
2013-11-19 2013136 	 04 06 14 16 18 26  06 	 369,164,734 	 12 139 
2013-11-17 2013135 	 09 23 24 25 29 31  12 	 406,720,240 	 5 113 
2013-11-14 2013134 	 01 17 18 19 25 29  10 	 372,289,714 	 16 118 
2013-11-12 2013133 	 04 07 12 19 22 25  01 	 361,709,328 	 12 248 
2013-11-10 2013132 	 20 21 22 23 25 27  12 	 420,848,208 	 25 176 
2013-11-07 2013131 	 04 06 12 17 19 26  09 	 388,319,260 	 18 130 
2013-11-05 2013130 	 01 03 15 16 31 33  08 	 385,080,972 	 12 115 
2013-11-03 2013129 	 05 06 10 14 27 31  14 	 418,710,844 	 4 144 
2013-10-31 2013128 	 07 13 17 19 25 31  08 	 381,844,688 	 8 156 
2013-10-29 2013127 	 02 03 13 20 22 33  14 	 376,726,836 	 5 216 
2013-10-27 2013126 	 04 10 19 27 31 33  16 	 408,866,622 	 5 155 
2013-10-24 2013125 	 04 06 08 18 25 28  16 	 372,984,566 	 8 308 
2013-10-22 2013124 	 03 09 15 23 25 30  07 	 347,249,642 	 8 140 
2013-10-20 2013123 	 01 02 06 11 17 25  02 	 385,822,278 	 12 109 
2013-10-17 2013122 	 07 10 13 15 26 27  11 	 345,544,080 	 10 173 
2013-10-15 2013121 	 04 05 06 07 25 27  07 	 337,100,116 	 5 155 
2013-10-13 2013120 	 05 06 13 18 23 31  11 	 404,684,072 	 47 447 
2013-10-10 2013119 	 05 15 20 22 26 32  09 	 357,071,040 	 9 83 
2013-10-08 2013118 	 02 03 17 22 32 33  16 	 343,511,272 	 6 93 
2013-10-06 2013117 	 09 12 13 24 27 33  16 	 368,579,726 	 19 232 
2013-10-03 2013116 	 12 15 21 26 32 33  07 	 312,633,700 	 2 148 
2013-10-01 2013115 	 03 12 16 17 18 27  08 	 319,974,332 	 13 122 
2013-09-29 2013114 	 04 06 17 21 23 33  07 	 398,506,774 	 5 97 
2013-09-26 2013113 	 04 07 11 17 24 33  09 	 353,992,568 	 7 147 
2013-09-24 2013112 	 01 06 12 13 22 31  07 	 344,881,702 	 12 77 
2013-09-22 2013111 	 01 02 03 06 08 33  13 	 401,502,238 	 22 252 
2013-09-19 2013110 	 15 17 18 21 29 32  13 	 341,867,256 	 4 56 
2013-09-17 2013109 	 09 23 24 27 29 32  08 	 351,155,742 	 5 103 
2013-09-15 2013108 	 16 21 22 28 31 32  05 	 384,725,718 	 3 60 
2013-09-12 2013107 	 07 09 11 17 28 31  11 	 349,907,348 	 7 120 
2013-09-10 2013106 	 09 11 23 30 31 32  06 	 344,715,810 	 4 77 
2013-09-08 2013105 	 01 11 23 27 31 32  09 	 380,197,404 	 5 70 
2013-09-05 2013104 	 01 02 04 15 17 28  11 	 339,771,188 	 4 88 
2013-09-03 2013103 	 02 04 09 13 18 20  07 	 329,389,008 	 5 111 
2013-09-01 2013102 	 02 04 05 06 08 16  03 	 374,113,680 	 12 142 
2013-08-29 2013101 	 05 07 09 23 27 32  01 	 339,246,710 	 4 83 
2013-08-27 2013100 	 04 08 11 14 16 20  11 	 324,850,520 	 0 61 
2013-08-25 2013099 	 05 11 20 21 26 31  03 	 359,490,506 	 13 173 
2013-08-22 2013098 	 07 15 18 19 20 26  14 	 333,979,300 	 28 291 
2013-08-20 2013097 	 05 14 17 22 23 25  07 	 326,153,582 	 3 152 
2017-10-19 2017123 	 04 05 06 11 21 31  10 	 327,467,830 	 16 237 
2017-10-17 2017122 	 11 20 21 22 24 27  15 	 323,216,212 	 4 52 
2017-10-15 2017121 	 11 18 19 22 24 32  07 	 344,520,506 	 5 136 
2017-10-12 2017120 	 08 10 15 19 23 28  16 	 319,254,526 	 5 192 
2017-10-10 2017119 	 09 16 21 25 26 31  14 	 311,293,858 	 11 127 
2017-10-08 2017118 	 08 09 15 22 30 33  16 	 339,910,326 	 12 123 
2017-10-05 2017117 	 01 02 08 11 14 21  09 	 277,103,412 	 3 53 
2017-10-03 2017116 	 02 14 20 22 30 32  02 	 270,066,216 	 9 85 
2017-10-01 2017115 	 04 10 11 25 30 31  01 	 322,048,056 	 6 128 
2017-09-28 2017114 	 06 12 13 15 18 26  13 	 321,554,260 	 4 89 
2017-09-26 2017113 	 04 06 16 27 29 33  05 	 316,223,542 	 4 75 
2017-09-24 2017112 	 03 10 14 16 22 23  11 	 346,255,520 	 2 76 
2017-09-21 2017111 	 05 10 17 19 29 32  12 	 317,976,914 	 16 99 
2017-09-19 2017110 	 01 03 12 15 19 23  14 	 316,936,062 	 3 68 
2017-09-17 2017109 	 08 14 16 18 21 23  16 	 349,302,018 	 4 96 
2017-09-14 2017108 	 07 12 14 15 17 20  01 	 320,774,192 	 6 113 
2017-09-12 2017107 	 08 09 15 17 30 32  06 	 319,335,446 	 19 202 
2017-09-10 2017106 	 12 15 20 25 27 31  02 	 346,574,690 	 4 82 
2017-09-07 2017105 	 03 06 07 12 25 26  07 	 314,223,620 	 29 254 
2017-09-05 2017104 	 01 14 15 20 23 30  14 	 310,263,038 	 2 93 
2017-09-03 2017103 	 01 21 23 25 31 33  01 	 347,478,996 	 9 64 
2017-08-31 2017102 	 04 08 10 14 18 20  11 	 315,963,272 	 14 150 
2017-08-29 2017101 	 01 04 11 28 31 32  16 	 313,219,868 	 2 51 
2017-08-27 2017100 	 04 07 08 18 23 24  02 	 343,590,604 	 16 117 
2017-08-24 2017099 	 02 05 06 16 28 29  04 	 310,565,530 	 27 142 
2017-08-22 2017098 	 04 19 22 27 30 33  01 	 314,009,676 	 14 93 
2017-08-20 2017097 	 05 10 18 19 30 31  03 	 348,913,966 	 10 183 
2017-08-17 2017096 	 02 06 11 12 19 29  06 	 322,973,284 	 14 165 
2017-08-15 2017095 	 09 10 12 19 22 29  16 	 317,203,922 	 14 332 
2017-08-13 2017094 	 08 11 13 19 28 31  06 	 341,689,810 	 9 128 
2017-08-10 2017093 	 07 08 09 15 22 27  12 	 308,248,758 	 39 238 
2017-08-08 2017092 	 10 18 19 29 32 33  09 	 308,876,342 	 4 131 
2017-08-06 2017091 	 05 07 10 23 28 29  03 	 337,138,076 	 4 141 
2017-08-03 2017090 	 01 07 10 16 22 33  09 	 312,174,318 	 4 84 
2017-08-01 2017089 	 11 12 13 16 23 25  12 	 314,842,050 	 2 69 
2017-07-30 2017088 	 07 09 18 22 23 29  06 	 346,380,162 	 10 406 
2017-07-27 2017087 	 03 06 13 14 19 28  06 	 316,090,948 	 13 105 
2017-07-25 2017086 	 03 05 06 13 20 22  07 	 313,250,840 	 5 73 
2017-07-23 2017085 	 01 05 06 16 25 30  09 	 340,676,888 	 7 148 
2017-07-20 2017084 	 01 05 11 20 22 24  02 	 314,750,766 	 9 98 
2017-07-18 2017083 	 03 08 14 20 24 26  12 	 305,712,986 	 13 161 
2017-07-16 2017082 	 14 18 21 25 28 29  10 	 340,327,376 	 9 120 
2017-07-13 2017081 	 03 05 14 25 26 30  05 	 311,169,340 	 4 134 
2017-07-11 2017080 	 01 12 16 20 22 24  08 	 309,113,400 	 10 103 
2017-07-09 2017079 	 03 07 14 23 25 27  08 	 338,568,770 	 5 107 
2017-07-06 2017078 	 05 07 18 19 22 24  16 	 308,678,006 	 7 160 
2017-07-04 2017077 	 01 02 04 15 17 22  14 	 310,153,396 	 4 93 
2017-07-02 2017076 	 01 04 08 09 14 15  13 	 346,391,726 	 7 115 
2017-06-29 2017075 	 01 03 06 19 21 29  07 	 320,592,160 	 7 90 
2017-06-27 2017074 	 02 06 16 23 30 31  02 	 312,167,868 	 16 548 
2017-06-25 2017073 	 03 06 16 23 26 30  14 	 347,269,730 	 9 173 
2017-06-22 2017072 	 06 11 14 23 26 30  02 	 321,195,342 	 11 94 
2017-06-20 2017071 	 02 03 06 14 31 32  03 	 322,489,468 	 4 51 
2017-06-18 2017070 	 01 06 14 22 25 26  12 	 357,559,628 	 4 92 
2017-06-15 2017069 	 02 11 12 23 29 31  05 	 326,172,358 	 3 98 
2017-06-13 2017068 	 02 06 10 22 30 31  15 	 320,912,348 	 7 102 
2017-06-11 2017067 	 01 03 04 10 18 29  04 	 356,270,498 	 10 131 
2017-06-08 2017066 	 01 04 06 17 19 26  03 	 329,821,920 	 8 103 
2017-06-06 2017065 	 02 05 08 10 12 21  07 	 320,800,086 	 14 181 
2017-06-04 2017064 	 02 10 16 22 24 28  15 	 351,655,222 	 5 158 
2017-06-01 2017063 	 12 16 20 22 25 31  04 	 307,572,084 	 4 246 
2017-05-30 2017062 	 01 07 22 24 26 31  10 	 292,747,704 	 2 50 
2017-05-28 2017061 	 06 07 12 20 26 27  11 	 327,891,234 	 22 236 
2017-05-25 2017060 	 05 10 13 24 26 31  04 	 320,553,910 	 4 113 
2017-05-23 2017059 	 04 08 09 15 19 25  09 	 306,145,516 	 26 222 
2017-05-21 2017058 	 01 09 13 22 28 32  11 	 338,794,650 	 8 111 
2017-05-18 2017057 	 18 20 22 23 30 31  16 	 314,697,362 	 9 71 
2017-05-16 2017056 	 13 14 18 19 21 28  06 	 317,424,132 	 8 184 
2017-05-14 2017055 	 07 12 13 20 24 31  05 	 342,200,872 	 20 109 
2017-05-11 2017054 	 02 03 09 23 28 33  08 	 315,730,948 	 2 73 
2017-05-09 2017053 	 04 09 11 15 29 31  06 	 316,559,816 	 6 77 
2017-05-07 2017052 	 07 08 18 24 29 31  07 	 346,847,224 	 5 182 
2017-05-04 2017051 	 02 05 09 15 24 25  11 	 315,667,040 	 10 194 
2017-05-02 2017050 	 10 12 20 24 27 29  07 	 308,163,776 	 5 64 
2017-04-30 2017049 	 01 08 14 15 20 29  10 	 326,777,700 	 7 113 
2017-04-27 2017048 	 05 08 09 14 15 19  07 	 317,465,116 	 11 107 
2017-04-25 2017047 	 02 05 08 10 32 33  02 	 313,845,556 	 6 181 
2017-04-23 2017046 	 04 13 14 23 26 32  10 	 348,845,228 	 6 95 
2017-04-20 2017045 	 05 07 16 20 21 25  05 	 320,562,564 	 4 99 
2017-04-18 2017044 	 08 16 19 21 31 32  06 	 318,935,018 	 15 81 
2017-04-16 2017043 	 08 13 16 23 27 31  08 	 348,879,160 	 4 170 
2017-04-13 2017042 	 01 02 04 07 10 23  04 	 326,995,938 	 8 69 
2017-04-11 2017041 	 04 10 13 15 22 27  04 	 322,450,520 	 21 114 
2017-04-09 2017040 	 15 19 23 28 29 33  04 	 359,413,424 	 13 82 
2017-04-06 2017039 	 02 04 12 14 17 24  15 	 330,405,710 	 1 109 
2017-04-04 2017038 	 01 04 08 13 24 27  05 	 310,673,636 	 5 191 
2017-04-02 2017037 	 11 15 20 22 25 30  05 	 346,434,206 	 7 102 
2017-03-30 2017036 	 01 02 05 10 24 27  15 	 340,257,990 	 4 134 
2017-03-28 2017035 	 01 06 14 24 28 32  12 	 342,022,594 	 16 164 
2017-03-26 2017034 	 04 07 08 19 32 33  13 	 373,962,682 	 8 146 
2017-03-23 2017033 	 05 07 15 20 23 30  15 	 346,477,046 	 12 205 
2017-03-21 2017032 	 05 08 15 24 27 31  11 	 346,410,188 	 63 284 
2017-03-19 2017031 	 06 10 16 26 27 29  03 	 377,406,752 	 30 344 
2017-03-16 2017030 	 01 07 09 20 23 30  02 	 350,487,064 	 5 81 
2017-03-14 2017029 	 02 15 21 23 25 30  10 	 343,011,048 	 4 53 
2017-03-12 2017028 	 07 08 12 13 22 30  09 	 377,657,484 	 9 152 
2017-03-09 2017027 	 02 04 11 14 27 30  05 	 344,767,540 	 3 76 
2017-03-07 2017026 	 03 10 12 19 27 30  08 	 338,217,710 	 30 385 
2017-03-05 2017025 	 02 15 16 17 22 32  07 	 372,684,176 	 11 176 
2017-03-02 2017024 	 09 21 25 26 29 31  13 	 342,020,216 	 6 120 
2017-02-28 2017023 	 01 03 04 11 18 22  14 	 337,872,226 	 3 108 
2017-02-26 2017022 	 02 06 15 16 18 32  15 	 370,988,738 	 4 63 
2017-02-23 2017021 	 02 05 10 22 32 33  09 	 329,896,520 	 16 115 
2017-02-21 2017020 	 04 08 10 12 31 33  10 	 321,450,250 	 4 87 
2017-02-19 2017019 	 04 06 08 12 23 25  08 	 362,828,374 	 4 111 
2017-02-16 2017018 	 01 02 03 17 25 31  09 	 332,385,048 	 5 91 
2017-02-14 2017017 	 03 07 08 10 22 23  12 	 329,086,094 	 5 120 
2017-02-12 2017016 	 05 08 16 22 27 29  02 	 349,767,606 	 12 222 
2017-02-09 2017015 	 01 08 09 14 17 32  01 	 314,977,594 	 4 101 
2017-02-07 2017014 	 06 08 18 20 23 31  13 	 307,538,720 	 5 144 
2017-02-05 2017013 	 08 11 28 29 31 33  06 	 377,878,424 	 10 99 
2017-01-26 2017012 	 10 11 14 15 16 24  07 	 329,120,186 	 9 80 
2017-01-24 2017011 	 10 11 12 23 26 29  16 	 318,019,266 	 11 229 
2017-01-22 2017010 	 05 08 19 25 28 30  07 	 350,388,682 	 30 231 
2017-01-19 2017009 	 02 06 08 09 15 29  14 	 318,286,702 	 9 145 
2017-01-17 2017008 	 07 13 15 27 28 29  13 	 318,368,112 	 10 165 
2017-01-15 2017007 	 02 04 05 24 26 33  15 	 358,098,002 	 7 62 
2017-01-12 2017006 	 02 04 08 26 29 33  08 	 327,823,184 	 4 70 
2017-01-10 2017005 	 06 11 12 22 23 30  05 	 328,457,210 	 14 204 
2017-01-08 2017004 	 05 13 17 26 27 30  07 	 361,243,290 	 18 294 
2017-01-05 2017003 	 01 04 08 15 27 32  16 	 328,263,696 	 3 80 
2017-01-03 2017002 	 15 19 23 24 25 32  03 	 333,473,696 	 4 67 
2017-01-01 2017001 	 09 11 14 20 25 26  15 	 376,155,592 	 9 184 
2016-12-29 2016153 	 07 09 16 24 25 29  06 	 342,438,226 	 5 247 
2016-12-27 2016152 	 02 08 09 16 20 22  07 	 338,973,816 	 17 247 
2016-12-25 2016151 	 06 11 16 20 22 33  07 	 375,311,070 	 11 130 
2016-12-22 2016150 	 02 04 05 09 13 21  05 	 350,741,078 	 22 140 
2016-12-20 2016149 	 03 20 23 26 32 33  07 	 342,258,704 	 5 77 
2016-12-18 2016148 	 01 02 11 20 26 30  14 	 381,634,232 	 10 158 
2016-12-15 2016147 	 04 14 18 28 31 32  12 	 341,474,648 	 5 113 
2016-12-13 2016146 	 03 07 15 16 17 23  10 	 344,859,752 	 8 133 
2016-12-11 2016145 	 01 03 07 12 19 20  06 	 398,955,964 	 8 157 
2016-12-08 2016144 	 04 10 12 27 32 33  05 	 372,346,108 	 14 86 
2016-12-06 2016143 	 06 09 23 24 25 33  13 	 378,923,738 	 5 143 
2016-12-04 2016142 	 01 10 17 21 23 30  12 	 407,120,242 	 11 85 
2016-12-01 2016141 	 04 13 15 17 21 24  15 	 371,798,444 	 7 106 
2016-11-29 2016140 	 01 02 05 17 26 32  10 	 360,447,386 	 16 84 
2016-11-27 2016139 	 01 06 19 26 28 30  03 	 395,456,724 	 5 94 
2016-11-24 2016138 	 07 16 20 24 25 30  07 	 350,229,764 	 12 160 
2016-11-22 2016137 	 01 06 09 10 15 32  14 	 339,962,622 	 4 90 
2016-11-20 2016136 	 02 07 10 20 27 29  03 	 396,457,052 	 8 117 
2016-11-17 2016135 	 02 08 10 18 20 33  12 	 353,219,786 	 24 172 
2016-11-15 2016134 	 11 12 13 14 18 33  13 	 356,409,344 	 8 107 
2016-11-13 2016133 	 15 16 21 22 27 33  15 	 397,601,552 	 26 242 
2016-11-10 2016132 	 05 08 13 19 27 28  07 	 349,399,364 	 37 358 
2016-11-08 2016131 	 04 10 18 19 25 27  02 	 341,425,796 	 4 112 
2016-11-06 2016130 	 03 17 21 23 27 28  01 	 389,013,348 	 8 88 
2016-11-03 2016129 	 05 06 08 21 31 33  14 	 356,293,078 	 2 107 
2016-11-01 2016128 	 04 09 11 17 26 27  13 	 346,505,806 	 17 216 
2016-10-30 2016127 	 07 12 17 26 29 31  16 	 377,635,784 	 3 127 
2016-10-27 2016126 	 02 06 12 17 18 19  10 	 347,402,822 	 4 182 
2016-10-25 2016125 	 01 06 08 20 27 30  03 	 346,147,358 	 10 94 
2016-10-23 2016124 	 09 15 21 24 27 32  10 	 370,331,346 	 5 120 
2016-10-20 2016123 	 07 09 12 14 20 27  16 	 305,299,416 	 3 191 
2016-10-18 2016122 	 15 22 23 24 28 29  08 	 305,059,324 	 6 96 
2016-10-16 2016121 	 02 03 10 23 25 28  09 	 340,006,950 	 5 106 
2016-10-13 2016120 	 02 05 06 21 25 28  09 	 309,329,228 	 6 139 
2016-10-11 2016119 	 09 19 21 30 31 32  04 	 302,415,052 	 4 353 
2016-10-09 2016118 	 09 14 22 23 31 33  14 	 338,792,784 	 4 97 
2016-10-06 2016117 	 03 10 14 17 28 33  02 	 281,128,494 	 12 167 
2016-10-04 2016116 	 07 18 20 23 27 31  13 	 268,669,114 	 6 52 
2016-10-02 2016115 	 06 08 20 22 26 27  09 	 307,770,194 	 13 62 
2016-09-29 2016114 	 05 16 20 22 27 29  09 	 300,350,554 	 21 103 
2016-09-27 2016113 	 01 11 16 17 20 26  14 	 301,675,518 	 6 95 
2016-09-25 2016112 	 06 12 14 15 18 25  12 	 339,124,224 	 8 105 
2016-09-22 2016111 	 02 04 07 14 15 32  04 	 310,894,592 	 3 68 
2016-09-20 2016110 	 05 07 28 31 32 33  08 	 306,664,040 	 5 55 
2016-09-18 2016109 	 09 11 15 16 27 33  05 	 339,043,452 	 8 93 
2016-09-15 2016108 	 02 03 07 08 19 26  16 	 278,530,656 	 6 174 
2016-09-13 2016107 	 06 11 18 26 27 32  01 	 295,842,288 	 13 230 
2016-09-11 2016106 	 04 05 13 22 25 30  04 	 329,967,722 	 6 119 
2016-09-08 2016105 	 08 10 19 27 28 31  16 	 304,435,234 	 13 153 
2016-09-06 2016104 	 05 09 11 18 30 31  04 	 304,391,928 	 2 72 
2016-09-04 2016103 	 01 05 13 19 24 27  11 	 334,526,552 	 13 116 
2016-09-01 2016102 	 05 08 10 14 17 30  13 	 304,528,374 	 7 339 
2016-08-30 2016101 	 01 03 19 24 32 33  01 	 303,829,992 	 3 45 
2016-08-28 2016100 	 03 10 22 23 27 29  04 	 335,027,586 	 4 87 
2016-08-25 2016099 	 01 11 21 23 27 33  06 	 300,016,648 	 4 111 
2016-08-23 2016098 	 02 08 25 29 31 32  06 	 296,350,008 	 3 63 
2016-08-21 2016097 	 06 13 25 26 28 31  01 	 327,274,678 	 9 101 
2016-08-18 2016096 	 06 13 14 21 22 24  16 	 296,887,214 	 5 110 
2016-08-16 2016095 	 01 05 09 12 18 32  12 	 297,413,702 	 7 73 
2016-08-14 2016094 	 06 07 10 12 18 31  10 	 324,311,584 	 4 83 
2016-08-11 2016093 	 06 09 15 17 25 27  09 	 298,416,216 	 18 131 
2016-08-09 2016092 	 02 13 15 23 24 29  06 	 299,992,386 	 19 97 
2016-08-07 2016091 	 04 08 14 22 23 28  07 	 329,710,234 	 17 226 
2016-08-04 2016090 	 02 13 17 20 21 26  07 	 294,008,068 	 23 164 
2016-08-02 2016089 	 01 03 14 30 31 32  08 	 288,232,376 	 10 48 
2016-07-31 2016088 	 03 14 16 18 25 33  15 	 320,354,148 	 5 79 
2016-07-28 2016087 	 02 03 10 11 14 21  12 	 288,396,896 	 3 84 
2016-07-26 2016086 	 09 10 11 12 15 32  05 	 286,788,850 	 6 62 
2016-07-24 2016085 	 01 12 19 20 21 25  16 	 319,888,112 	 7 245 
2016-07-21 2016084 	 02 04 12 18 24 26  05 	 288,778,286 	 5 101 
2016-07-19 2016083 	 09 16 17 24 30 31  04 	 291,921,542 	 7 99 
2016-07-17 2016082 	 06 12 14 15 17 20  09 	 323,658,370 	 10 89 
2016-07-14 2016081 	 02 06 15 25 30 32  07 	 288,505,018 	 3 73 
2016-07-12 2016080 	 01 16 17 24 25 32  14 	 288,372,472 	 4 88 
2016-07-10 2016079 	 01 03 10 12 24 28  02 	 322,821,956 	 2 101 
2016-07-07 2016078 	 02 04 08 23 26 29  02 	 296,681,554 	 6 65 
2016-07-05 2016077 	 01 09 17 19 20 29  10 	 294,629,008 	 3 93 
2016-07-03 2016076 	 07 08 13 22 30 32  01 	 331,977,974 	 6 112 
2016-06-30 2016075 	 01 03 06 16 29 32  07 	 295,574,016 	 0 65 
2016-06-28 2016074 	 06 10 11 12 20 25  12 	 297,584,738 	 62 154 
2016-06-26 2016073 	 09 11 12 15 16 20  13 	 327,032,018 	 5 80 
2016-06-23 2016072 	 05 16 19 22 24 25  02 	 290,670,126 	 2 79 
2016-06-21 2016071 	 19 21 26 28 29 32  01 	 293,734,448 	 4 83 
2016-06-19 2016070 	 03 06 11 18 23 29  01 	 326,894,102 	 7 264 
2016-06-16 2016069 	 08 10 11 20 21 27  11 	 300,232,584 	 6 168 
2016-06-14 2016068 	 08 19 23 28 31 32  01 	 295,768,168 	 2 58 
2016-06-12 2016067 	 09 13 18 20 27 31  04 	 327,487,486 	 5 117 
2016-06-09 2016066 	 03 07 13 18 19 20  05 	 275,334,312 	 10 207 
2016-06-07 2016065 	 13 16 22 25 26 27  14 	 298,326,848 	 2 87 
2016-06-05 2016064 	 03 12 14 17 19 26  03 	 332,534,594 	 11 116 
2016-06-02 2016063 	 16 17 18 23 28 32  07 	 304,409,952 	 0 83 
2016-05-31 2016062 	 12 13 15 18 19 21  09 	 305,198,008 	 2 116 
2016-05-29 2016061 	 05 06 08 18 20 32  08 	 340,147,518 	 21 127 
2016-05-26 2016060 	 04 05 22 26 29 32  08 	 320,540,202 	 15 47 
2016-05-24 2016059 	 04 11 12 20 25 28  15 	 322,601,954 	 9 153 
2016-05-22 2016058 	 03 05 18 20 24 32  11 	 357,296,334 	 2 130 
2016-05-19 2016057 	 07 12 19 22 23 26  11 	 325,499,780 	 11 256 
2016-05-17 2016056 	 03 04 08 11 16 18  14 	 326,490,562 	 6 180 
2016-05-15 2016055 	 05 06 10 16 22 26  11 	 350,383,284 	 11 232 
2016-05-12 2016054 	 06 11 16 19 28 32  04 	 324,349,586 	 8 204 
2016-05-10 2016053 	 02 08 10 12 29 31  01 	 320,149,454 	 5 165 
2016-05-08 2016052 	 01 06 13 19 24 28  16 	 353,216,208 	 12 218 
2016-05-05 2016051 	 01 02 04 09 15 33  12 	 324,257,380 	 2 58 
2016-05-03 2016050 	 09 12 24 28 29 30  02 	 308,889,140 	 4 116 
2016-05-01 2016049 	 06 08 13 14 22 27  10 	 330,279,014 	 15 172 
2016-04-28 2016048 	 03 08 13 14 15 30  04 	 329,538,828 	 6 115 
2016-04-26 2016047 	 02 05 08 15 17 22  16 	 324,937,604 	 5 172 
2016-04-24 2016046 	 07 20 25 26 27 30  14 	 364,459,490 	 0 90 
2016-04-21 2016045 	 04 09 12 17 30 32  03 	 336,323,174 	 1 86 
2016-04-19 2016044 	 01 03 10 12 18 30  01 	 335,979,238 	 6 147 
2016-04-17 2016043 	 05 14 20 26 30 33  12 	 364,494,720 	 6 88 
2016-04-14 2016042 	 07 14 17 23 26 31  09 	 334,864,386 	 11 129 
2016-04-12 2016041 	 12 17 18 21 22 24  04 	 330,501,352 	 3 98 
2016-04-10 2016040 	 03 13 19 20 23 26  03 	 365,246,422 	 12 167 
2016-04-07 2016039 	 01 03 07 18 19 27  16 	 335,090,614 	 5 189 
